city,loss,accuracy,iou_score,f1_score,precision,recall
mean,0.25151076912879944,0.9155399203300476,0.23357699811458588,0.36385607719421387,0.7110384106636047,0.6232658624649048
Yaoundé,0.44427722692489624,0.851673424243927,0.0528688058257103,0.096959188580513,0.11365094035863876,0.15252265334129333
Dar es Salaam,0.4506564736366272,0.8232082724571228,0.15311583876609802,0.26556888222694397,0.18526197969913483,0.46877020597457886
Kampala,0.32547232508659363,0.8838973045349121,0.14137528836727142,0.23614686727523804,0.19204363226890564,0.39195990562438965
Douala,0.38367390632629395,0.8848724365234375,0.001984127564355731,0.003960396163165569,0.00992720015347004,0.002473614877089858
Butembo,0.4433743357658386,0.9154534339904785,0.13185656070709229,0.22149184346199036,0.18231980502605438,0.1027139276266098
São Paulo,0.16585388779640198,0.9405636787414551,0.3097498118877411,0.4549962282180786,0.5742127895355225,0.45410194993019104
Barranquilla,0.3030777871608734,0.917429506778717,0.08116932213306427,0.14502878487110138,0.12445211410522461,0.14361371099948883
Asunción,0.24606074392795563,0.9137423038482666,0.2927214503288269,0.4477042853832245,0.4094657003879547,0.5298597812652588
San Juan,0.19289956986904144,0.9337892532348633,0.26514503359794617,0.41284334659576416,0.5805646777153015,0.3192395567893982
Porto Alegre,0.2174457460641861,0.9204993844032288,0.43412256240844727,0.6028102040290833,0.6868560910224915,0.5455175638198853
